dataset,split,image_id,width,height,aspect_ratio,n_boxes,is_positive
crop_clahe_2class,train,001ade2a3cb53fd808bd2856a0df5413,825,1735,0.4755043227665706,3,True
crop_clahe_2class,train,002074412a8fc178c271fb93b55c3e29,671,1933,0.347128815312985,1,True
crop_clahe_2class,train,0023a34e6da7f2e0ce21c6edaaa6b044,573,1667,0.3437312537492502,0,False
crop_clahe_2class,train,002460132586dc0c7b88a59dce6e77bd,580,1584,0.3661616161616162,1,True
crop_clahe_2class,train,0027b96e3fad26237fc3b9a4e3764569,726,1722,0.42160278745644597,0,False
crop_clahe_2class,train,0033486d8e272f4914b6e6220b21297f,686,1563,0.43889955214331416,0,False
crop_clahe_2class,train,0077cf9b17659aacf770131a44deeb21,486,1246,0.3900481540930979,0,False
crop_clahe_2class,train,00857417d07096982013956033da1f75,475,1304,0.3642638036809816,1,True
crop_clahe_2class,train,008efa0084e21397631642ec9bfbb544,711,2048,0.34716796875,0,False
crop_clahe_2class,train,009c030ed53e82ad3d42ee3072d3f713,557,1528,0.3645287958115183,0,False
crop_clahe_2class,train,009e539fbe294fb3f22022e56faa7600,571,1296,0.44058641975308643,0,False
crop_clahe_2class,train,00d2e2e744370b53e27b0d75dcbac582,702,1457,0.48181194234728897,0,False
crop_clahe_2class,train,0112888ebb711f6e8bacc5076928ce17,571,1391,0.4104960460100647,0,False
crop_clahe_2class,train,0159bbb5f3513dbf9e83549b99fb6c89,589,1445,0.4076124567474048,0,False
crop_clahe_2class,train,0171ab32059f4c226164a13c311f6824,620,1614,0.38413878562577447,1,True
crop_clahe_2class,train,0178810f3d306a7aa66eeea226b85846,538,1786,0.3012318029115342,0,False
crop_clahe_2class,train,0251626a4fc9a399779129e0381638fc,524,1357,0.38614591009579957,0,False
crop_clahe_2class,train,025e8bf895b273d9925a88c0f295bd09,671,1724,0.38921113689095127,0,False
crop_clahe_2class,train,0263ac33ea388446f5ef9b5d074cd7ac,567,1647,0.3442622950819672,0,False
crop_clahe_2class,train,029bce64717d6abfa8b91da845e2369e,590,1383,0.42660882140274764,0,False
crop_clahe_2class,train,02b3206d267eb7f354113b0c5365127b,479,1903,0.2517078297425118,1,True
crop_clahe_2class,train,02bfa44c5d38d04bdb6d6e22b647e6a8,617,1363,0.45267791636096844,0,False
crop_clahe_2class,train,03bef4f436b444b0f984705dd9fccb0d,575,1393,0.41277817659727206,0,False
crop_clahe_2class,train,044871fcc0dda40a47d15e694f4abbd6,540,1285,0.42023346303501946,0,False
crop_clahe_2class,train,048442000c4a83196f09dd278f743b3c,437,1253,0.3487629688747007,0,False
crop_clahe_2class,train,04c64dd7683662188094816c7c2ca88d,517,1551,0.3333333333333333,2,True
crop_clahe_2class,train,050c2f6caf47f439d62e1fc8942396f6,360,1395,0.25806451612903225,1,True
crop_clahe_2class,train,0512eba40f343332df4758ea376de0dc,443,1230,0.36016260162601627,0,False
crop_clahe_2class,train,051c9cdca609082df5257bde8b1ec127,733,1394,0.5258249641319943,0,False
crop_clahe_2class,train,051cab78cc34935e39f6133fad298923,512,1782,0.287317620650954,0,False
crop_clahe_2class,train,0528e89707550f54d3677dd55b11e698,1026,2004,0.5119760479041916,0,False
crop_clahe_2class,train,058dadc4d0a2de9f98c3cabada08703e,674,1696,0.39740566037735847,0,False
crop_clahe_2class,train,05b027272d8159658b5f9a51e22e734f,742,1654,0.4486094316807739,0,False
crop_clahe_2class,train,061bc49a16cad3bc2b479993f7e689f8,527,1544,0.34132124352331605,1,True
crop_clahe_2class,train,063e3c9dbcf2f26a8a2bc026061e8b6c,585,1650,0.35454545454545455,0,False
crop_clahe_2class,train,06691f5dc2caa5f72c05d4b26af810cf,490,1580,0.310126582278481,3,True
crop_clahe_2class,train,06bb29b24d251036283df49dcd1a0651,689,1852,0.3720302375809935,0,False
crop_clahe_2class,train,06e41ae6d876da5119d826eee7f26fd3,650,1403,0.4632929436920884,0,False
crop_clahe_2class,train,07113fb0e24edd63db2b28980d4b88f2,435,1265,0.3438735177865613,0,False
