dataset,split,image_id,n_boxes,visual_path,saved
crop_clahe_2class,train,7106e773a592248be9617d781c4887b5,2,/content/drive/MyDrive/vindr_mammo/dataset/prepared_datasets/target2class_subset_v2_medium_balanced_crop_clahe_2class/visual_checks/crop_clahe_2class_train_7106e773a592248be9617d781c4887b5_gt.png,True
crop_clahe_2class,train,1507cf98ea325351b0104cb854a6ac83,1,/content/drive/MyDrive/vindr_mammo/dataset/prepared_datasets/target2class_subset_v2_medium_balanced_crop_clahe_2class/visual_checks/crop_clahe_2class_train_1507cf98ea325351b0104cb854a6ac83_gt.png,True
crop_clahe_2class,train,c306fcb24e2f16f8582d210f7625b5e6,1,/content/drive/MyDrive/vindr_mammo/dataset/prepared_datasets/target2class_subset_v2_medium_balanced_crop_clahe_2class/visual_checks/crop_clahe_2class_train_c306fcb24e2f16f8582d210f7625b5e6_gt.png,True
crop_clahe_2class,train,8c799782afb5ab3a1a9cd5236dbddb98,1,/content/drive/MyDrive/vindr_mammo/dataset/prepared_datasets/target2class_subset_v2_medium_balanced_crop_clahe_2class/visual_checks/crop_clahe_2class_train_8c799782afb5ab3a1a9cd5236dbddb98_gt.png,True
crop_clahe_2class,train,a8e59b1bda9b7d6ae5fcd9ac543bad56,1,/content/drive/MyDrive/vindr_mammo/dataset/prepared_datasets/target2class_subset_v2_medium_balanced_crop_clahe_2class/visual_checks/crop_clahe_2class_train_a8e59b1bda9b7d6ae5fcd9ac543bad56_gt.png,True
crop_clahe_2class,train,d9cccca5e3fad376f72cd2abeda14b28,2,/content/drive/MyDrive/vindr_mammo/dataset/prepared_datasets/target2class_subset_v2_medium_balanced_crop_clahe_2class/visual_checks/crop_clahe_2class_train_d9cccca5e3fad376f72cd2abeda14b28_gt.png,True
crop_clahe_2class,train,150cb5d7fd49a32058caaa51714e8cd0,1,/content/drive/MyDrive/vindr_mammo/dataset/prepared_datasets/target2class_subset_v2_medium_balanced_crop_clahe_2class/visual_checks/crop_clahe_2class_train_150cb5d7fd49a32058caaa51714e8cd0_gt.png,True
crop_clahe_2class,train,7007ced529a36ac4b7639b8ab15f3ce0,1,/content/drive/MyDrive/vindr_mammo/dataset/prepared_datasets/target2class_subset_v2_medium_balanced_crop_clahe_2class/visual_checks/crop_clahe_2class_train_7007ced529a36ac4b7639b8ab15f3ce0_gt.png,True
crop_clahe_2class,train,15f2e36521ccae32ee5ba13db9a8c02d,1,/content/drive/MyDrive/vindr_mammo/dataset/prepared_datasets/target2class_subset_v2_medium_balanced_crop_clahe_2class/visual_checks/crop_clahe_2class_train_15f2e36521ccae32ee5ba13db9a8c02d_gt.png,True
crop_clahe_2class,train,b50b5943e02004c10ac6de73d93cbe50,2,/content/drive/MyDrive/vindr_mammo/dataset/prepared_datasets/target2class_subset_v2_medium_balanced_crop_clahe_2class/visual_checks/crop_clahe_2class_train_b50b5943e02004c10ac6de73d93cbe50_gt.png,True
