dataset,split,image_id,class_id,class_name,xmin,ymin,xmax,ymax,bbox_width_px,bbox_height_px,bbox_area_px,bbox_width_norm,bbox_height_norm,bbox_area_norm,image_width,image_height
crop_clahe_2class,train,001ade2a3cb53fd808bd2856a0df5413,0,Mass,339.50692875000004,1025.936009975,659.45126775,1264.596242525,319.944339,238.66023255000005,76357.99034879605,0.38781132,0.13755633,0.053345901911655606,825,1735
crop_clahe_2class,train,001ade2a3cb53fd808bd2856a0df5413,1,Suspicious Calcification,384.224181,1073.449765725,433.07848649999994,1122.315884575,48.85430549999995,48.86611885000002,2387.3202988972075,0.05921734,0.02816491,0.0016678510515394,825,1735
crop_clahe_2class,train,001ade2a3cb53fd808bd2856a0df5413,1,Suspicious Calcification,496.30169737500006,1065.78449235,575.809678125,1153.9351231499998,79.50798074999994,88.15063079999982,7008.678656746738,0.09637331,0.05080728,0.0048964657456968,825,1735
crop_clahe_2class,train,002074412a8fc178c271fb93b55c3e29,1,Suspicious Calcification,351.700473025,809.46021916,405.78149617500003,881.28574398,54.08102315000002,71.82552482000006,3884.397870551324,0.08059765,0.03715754,0.0029948104037810005,671,1933
crop_clahe_2class,train,002460132586dc0c7b88a59dce6e77bd,0,Mass,16.31106159999999,1102.41543456,190.3799192,1276.4896214399998,174.0688576,174.07418687999984,30300.894847850483,0.30011872,0.10989532,0.0329816427723904,580,1584
crop_clahe_2class,train,00857417d07096982013956033da1f75,1,Suspicious Calcification,31.340017875,246.77656884,96.84761462500002,302.84912956,65.50759675000002,56.072560719999984,3673.17869638565,0.13791073,0.04300043,0.005930220691613901,475,1304
crop_clahe_2class,train,0171ab32059f4c226164a13c311f6824,1,Suspicious Calcification,97.29121219999999,968.9462018099999,140.1502994,1019.3311661099999,42.859087200000005,50.38496429999998,2159.4535785025864,0.06912756,0.03121745,0.0021579861479220004,620,1614
crop_clahe_2class,train,02b3206d267eb7f354113b0c5365127b,1,Suspicious Calcification,167.76515399500002,639.06178721,409.17922362499996,1007.8848433500001,241.41406962999994,368.82305614000006,89039.07495613136,0.50399597,0.19381138,0.0976801544601386,479,1903
crop_clahe_2class,train,04c64dd7683662188094816c7c2ca88d,0,Mass,51.447215435000004,1119.763488525,167.679843045,1253.541348675,116.23262761000001,133.77786015000015,15549.352201277627,0.22482133,0.08625265,0.0193914354890245,517,1551
crop_clahe_2class,train,04c64dd7683662188094816c7c2ca88d,0,Mass,180.29778899,1025.4088222950002,414.76513704999996,1275.4766918849998,234.46734805999998,250.06786958999965,58632.75021778113,0.45351518,0.16123009,0.0731202932877662,517,1551
crop_clahe_2class,train,050c2f6caf47f439d62e1fc8942396f6,0,Mass,79.9136856,421.29213435,182.33586,525.40597845,102.4221744,104.1138441,10663.56629786461,0.28450604,0.07463358,0.021233704296823204,360,1395
crop_clahe_2class,train,061bc49a16cad3bc2b479993f7e689f8,1,Suspicious Calcification,483.26367976,822.7860354400001,525.99999642,997.8789704799999,42.73631666,175.09293503999982,7482.827116798242,0.08109358,0.11340216,0.0091961871341328,527,1544
crop_clahe_2class,train,06691f5dc2caa5f72c05d4b26af810cf,0,Mass,147.54391470000002,873.8667555,435.8872371,1401.9537105000002,288.3433224,528.0869550000002,152270.34712079933,0.58845576,0.33423225,0.19668089269026,490,1580
crop_clahe_2class,train,06691f5dc2caa5f72c05d4b26af810cf,1,Suspicious Calcification,262.577133,1134.1515473,292.2852254,1175.2374407,29.708092399999998,41.08589340000003,1220.583517463751,0.06062876,0.02600373,0.0015765739052748,490,1580
crop_clahe_2class,train,06691f5dc2caa5f72c05d4b26af810cf,1,Suspicious Calcification,322.3424183,983.2516644000001,354.9859243,1019.9039672,32.643506,36.652302799999916,1196.459666365614,0.0666194,0.02319766,0.0015454141906039998,490,1580
crop_clahe_2class,train,07e191bc54c3378f9fdf23ddecc47420,0,Mass,126.86078223000001,532.61820401,593.1427734900001,922.83690771,466.28199126000004,390.2187037,181951.95418813193,0.70012311,0.21230615,0.14864044201012652,666,1838
crop_clahe_2class,train,07e191bc54c3378f9fdf23ddecc47420,1,Suspicious Calcification,163.28906748,592.97200347,665.000001,1010.24588337,501.71093352,417.2738799,209350.86781814139,0.75331972,0.22702605,0.171023200418706,666,1838
crop_clahe_2class,train,07f468d6fff5b3e3b512e4b95cf0cdda,0,Mass,389.029752195,659.39120124,601.446723045,844.6251426,212.41697084999998,185.23394136000002,39346.83272229773,0.32629335,0.13481364,0.043988794221294,651,1374
crop_clahe_2class,train,07f5863348560d0507bba86c8bba0586,0,Mass,331.80834452,858.659621985,407.57219862,937.9309287149999,75.7638541,79.27130672999999,6005.899717408068,0.1178287,0.04071459,0.004797347210733,643,1947
crop_clahe_2class,train,07f5863348560d0507bba86c8bba0586,0,Mass,485.30348482999995,790.38772626,639.64758447,964.02800076,154.34409964000002,173.64027450000003,26800.35182894496,0.24003748,0.0891835,0.02140738259758,643,1947
crop_clahe_2class,train,080220733f46127184e6e0158d66c2e3,0,Mass,164.106545475,808.46159667,296.16126274500004,965.3624371299999,132.05471727000005,156.90084045999993,20719.496126370675,0.26358227,0.13262962,0.034958816308837404,501,1183
crop_clahe_2class,train,0806729f6ebeb658662051e8bdcfab3c,0,Mass,30.1155063,804.5665627349999,125.21011818,910.3474175249999,95.09461188,105.78085478999992,10059.189330589681,0.14951983,0.06707727,0.010029382007264099,636,1577
crop_clahe_2class,train,08a64894ac411114c25dd709e2bcc471,1,Suspicious Calcification,77.58003312,658.4817408,129.36161321999998,704.39583552,51.781580099999985,45.91409471999998,2377.504373462665,0.1128139,0.03679014,0.004150439174946,459,1248
crop_clahe_2class,train,08a64894ac411114c25dd709e2bcc471,1,Suspicious Calcification,216.013627575,638.1123403199999,247.76940028499996,662.27735184,31.755772709999974,24.16501152000012,767.3786133636548,0.06918469,0.01936299,0.0013396224606231,459,1248
crop_clahe_2class,train,08a64894ac411114c25dd709e2bcc471,1,Suspicious Calcification,341.669077425,598.7590939199999,388.618980255,666.42224688,46.949902829999985,67.66315296000005,3176.778456643428,0.10228737,0.05421727,0.0055457419568799,459,1248
crop_clahe_2class,train,0939019fd916e0748e07d9546cd8bdf5,1,Suspicious Calcification,237.24975748,762.939591825,334.2929494,831.8485614750001,97.04319192,68.90896965000013,6687.146366754418,0.17085069,0.05534857,0.0094563413750133,568,1245
crop_clahe_2class,train,09d71ae86ca0383de5dcbcc40fa421ce,0,Mass,260.90183443999996,697.500001485,399.2713273,828.5591199550001,138.36949286000004,131.05911847000016,18134.583757372584,0.26456882,0.09700897,0.0256655487223154,523,1351
crop_clahe_2class,train,0abdf3f3255cb44a2a15908a811fe6e3,1,Suspicious Calcification,272.6964676,1310.399807695,466.2298368,1434.2869481450002,193.53336919999998,123.88714045000029,23976.29569184216,0.26153158,0.08134415,0.021274064073257,740,1523
crop_clahe_2class,train,0adc8a85d70d053c80a88bb97d108e44,0,Mass,464.62057746999994,895.1298985,649.63142881,1058.8418835599998,185.01085134000004,163.71198505999985,30288.49373051194,0.24934077,0.08399794,0.0209441110380138,742,1949
crop_clahe_2class,train,0bac94530476031873566b909b8f1161,1,Suspicious Calcification,0.0,677.3244705000001,133.23444896,811.6728267,133.23444896,134.3483561999999,17899.829206988787,0.34878128,0.09233564,0.0322049427088192,382,1455
crop_clahe_2class,train,0cf9cd3d36a7bfb95e66c0ba482eb8c0,1,Suspicious Calcification,234.03853098,551.64546025,459.3976047,642.59457875,225.35907372,90.94911849999994,20496.2091008105,0.32947233,0.06272353,0.020665667574924898,684,1450
crop_clahe_2class,train,0cf9cd3d36a7bfb95e66c0ba482eb8c0,0,Mass,255.03631865999995,545.92297725,510.24783365999997,798.06914675,255.21151500000002,252.14616949999993,64350.60591954178,0.37311625,0.17389391,0.0648826435970375,684,1450
crop_clahe_2class,train,0cf9cd3d36a7bfb95e66c0ba482eb8c0,1,Suspicious Calcification,318.52485666,725.2830399999999,393.8717043,790.041287,75.34684763999996,64.7582470000001,4879.329770142492,0.11015621,0.04466086,0.0049196710729406,684,1450
crop_clahe_2class,train,0d08356a2638c214fbc6cbeb24251c0c,0,Mass,23.547615299999997,905.54177615,87.67070729999999,977.09961833,64.12309199999999,71.55784217999997,4588.510097429617,0.1295416,0.05332179,0.006907389991464,495,1342
crop_clahe_2class,train,0d58856b402c571d3fa0fc19d26267ca,1,Suspicious Calcification,242.98036185499998,592.66820907,312.965550205,698.83471371,69.98518835000002,106.16650463999997,7430.082823691549,0.12984265,0.06925408,0.008992133270512,539,1533
crop_clahe_2class,train,0d58856b402c571d3fa0fc19d26267ca,1,Suspicious Calcification,349.73948009,566.5705090499999,420.92392727,644.09523885,71.18444718,77.52472980000005,5518.555033591876,0.13206762,0.0505706,0.006678738783972,539,1533
crop_clahe_2class,train,0d6987fc066d2fad238b5c15f4e9bf8e,1,Suspicious Calcification,216.72086725,793.7309466449999,274.95263131,851.963321755,58.23176406000002,58.232375110000135,3390.9739280589456,0.11599953,0.03764213,0.0043664693881989005,502,1547
crop_clahe_2class,train,0dc38f7b2936fff46ec10a0beb5aaeb2,0,Mass,1.7464588799999952,475.38717363999996,131.67497856,645.35861776,129.92851968,169.97144412000006,22084.138122383447,0.33835552,0.15423906,0.05218763735061121,384,1102
crop_clahe_2class,train,0e3db7bbea14c6dd5dbab7b95bfe82e4,0,Mass,122.62537262000001,845.10560694,309.38849234,1075.71810018,186.76311972000002,230.61249323999994,43069.9086839098,0.42737556,0.15571404,0.0665483750448624,437,1481
crop_clahe_2class,train,0f37159abdcef6a062e404df47e8f1ac,1,Suspicious Calcification,89.08626507500004,181.09523443499998,652.562650025,864.692614665,563.47638495,683.59738023,385190.980573291,0.86026929,0.41505609,0.35706000785447606,655,1647
crop_clahe_2class,train,0fb063fe3b46db2bbe83d124a3793101,1,Suspicious Calcification,69.84598036,721.13772456,302.92086044,1015.24272664,233.07488008,294.10500207999996,68548.48809072415,0.57691802,0.22146461,0.1277669243012722,404,1328
crop_clahe_2class,train,10e0019ae8ce05748b47e9b02131de7f,1,Suspicious Calcification,230.67921891999998,924.3634368800001,499.16909014000004,1144.43656762,268.48987122000005,220.0731307399999,59087.40653136481,0.49628442,0.14564734,0.0722825056564428,541,1511
crop_clahe_2class,train,11ad49282c890423f5bd94803842d89c,0,Mass,346.53322184,189.232397585,450.94627952,370.393115015,104.41305768000001,181.16071742999998,18915.54443836877,0.23100234,0.13839627,0.0319698622172718,452,1309
crop_clahe_2class,train,11b8d57615519367276e766b61684f04,0,Mass,217.85395856000002,717.3549507,357.42358536,960.5134131000001,139.56962679999998,243.15846240000008,33937.535850429835,0.2546891,0.14345632,0.036536761030112,548,1695
crop_clahe_2class,train,11b8d57615519367276e766b61684f04,1,Suspicious Calcification,222.44043359999998,809.768393175,352.18175712,938.8827299250001,129.74132352,129.11433675000012,16751.464935351993,0.23675424,0.07617365,0.018034434613776,548,1695
crop_clahe_2class,train,11b953e33bdaee7933f8d1db574942af,0,Mass,90.31772169500002,688.78702885,324.085328645,911.46475545,233.76760695,222.67772660000003,52054.83926834836,0.52064055,0.1658062,0.08632543116140999,449,1343
crop_clahe_2class,train,11d1c20d269f487d47fa5fc80c6f7722,1,Suspicious Calcification,98.47296114,886.2752329599999,143.24091198,917.4958806,44.76795084,31.22064764000004,1397.6844187404836,0.09099177,0.02203292,0.0020048143890684,492,1417
crop_clahe_2class,train,11dbf2405e94335db8d8011db532a5ac,1,Suspicious Calcification,104.18108736000002,647.5242830700001,353.27419848000005,1032.4935260500001,249.09311112000003,384.96924298,95893.18641939943,0.42362774,0.24334339,0.10308701034963859,588,1582
crop_clahe_2class,train,11dbf2405e94335db8d8011db532a5ac,1,Suspicious Calcification,159.63012534000003,566.0408972399999,567.81715578,1030.00773736,408.18703043999994,463.96684012000003,189385.24669121305,0.69419563,0.29327866,0.2035927641442558,588,1582
crop_clahe_2class,train,12284c56ca4887b1747c1f45bce853f1,1,Suspicious Calcification,154.65033474,685.3915560800001,208.63826478000001,740.05535884,53.98793004000001,54.66380275999995,2951.185559127237,0.11154531,0.04314428,0.0048125420873268,484,1267
crop_clahe_2class,train,12284c56ca4887b1747c1f45bce853f1,1,Suspicious Calcification,170.87581038,474.799184615,205.6733921,500.902792845,34.79758172000001,26.10360823000002,908.3424405702906,0.07189583,0.02060269,0.0014812474977826998,484,1267
crop_clahe_2class,train,12284c56ca4887b1747c1f45bce853f1,1,Suspicious Calcification,249.80389984,547.7191587,268.69910496,576.06402658,18.895205119999986,28.344867880000038,535.5820926918999,0.03903968,0.02237164,0.0008733816666752001,484,1267
crop_clahe_2class,train,129b633979a43461369df710e69e111d,0,Mass,373.19406875000004,681.0735438800001,426.22734375,726.44036988,53.033274999999946,45.366825999999946,2405.9513591351447,0.08485324,0.02849675,0.00241804156697,625,1592
crop_clahe_2class,train,132095e759b34fba0adcba4205e1b513,0,Mass,464.4047160250001,892.7220736,551.617970915,1019.55504128,87.21325488999992,126.83296767999991,11061.515938730954,0.10674817,0.06193016,0.0066109312478072,817,2048
crop_clahe_2class,train,132095e759b34fba0adcba4205e1b513,0,Mass,564.401414685,726.01736192,752.927980075,878.65535488,188.5265653900001,152.63799296000002,28776.31656077182,0.23075467,0.07453027,0.0171982078588609,817,2048
crop_clahe_2class,train,136a7d195b654c4bf862fdd076c77574,1,Suspicious Calcification,83.30929911000001,474.48659503,310.01377449,707.67218345,226.70447538,233.18558842000004,52864.21648893271,0.53217013,0.17652202,0.0939397463312626,426,1321
crop_clahe_2class,train,13ea2c59ed904bde1da93f3160edb462,1,Suspicious Calcification,399.37876748,666.77374693,442.38172132,709.41616415,43.002953839999975,42.64241721999997,1833.7498993376787,0.06980999,0.03196583,0.0022315342726417003,616,1334
crop_clahe_2class,train,14387f59b61cfdebf1fc0ac124efaf6d,1,Suspicious Calcification,98.71405596,870.033270625,130.52241462,899.099918375,31.80835866000001,29.066647750000016,924.5623566758828,0.06273838,0.01471729,0.0009233389325901999,507,1975
crop_clahe_2class,train,1507cf98ea325351b0104cb854a6ac83,0,Mass,129.88787048999998,874.03454784,226.07493615,947.2590701999999,96.18706566000003,73.22452235999992,7043.251940163453,0.24107034,0.04021116,0.009693718012994401,399,1821
crop_clahe_2class,train,150cb5d7fd49a32058caaa51714e8cd0,0,Mass,158.1580759,705.843956295,223.6025249,771.289164045,65.44444899999999,65.44520775000001,4283.025560889279,0.1270766,0.04144725,0.00526697560935,515,1579
crop_clahe_2class,train,1545d3528b9cc99bcdf09d4b2b434f59,0,Mass,113.84590776,910.46759424,284.80559863999997,1064.21634048,170.95969087999998,153.74874624000006,26284.83813037797,0.27050584,0.07507263,0.0203075848391592,632,2048
crop_clahe_2class,train,1545d3528b9cc99bcdf09d4b2b434f59,1,Suspicious Calcification,259.48272376,774.57304576,285.76229495999996,804.88686592,26.279571199999964,30.313820159999977,796.6341952387137,0.0415816,0.01480167,0.000615477121272,632,2048
crop_clahe_2class,train,1545d3528b9cc99bcdf09d4b2b434f59,0,Mass,278.24413988000003,875.22107392,495.47414972,1114.73553408,217.23000983999998,239.51446016,52029.72853737908,0.34371837,0.11695042,0.0401980077332154,632,2048
crop_clahe_2class,train,15c8e59fdfafb3deefc80c5a9e8a42d0,1,Suspicious Calcification,50.25593534999997,755.2004140200002,687.57087369,1375.7113775,637.31493834,620.5109634799999,395460.90642955014,0.84636778,0.37928543,0.3210149673754454,753,1636
crop_clahe_2class,train,15f2e36521ccae32ee5ba13db9a8c02d,0,Mass,202.45349582999998,451.77844875,482.33257461,692.29902825,279.87907878,240.5205795,67316.67821809175,0.50157541,0.13943222,0.06993577291371021,558,1725
crop_clahe_2class,train,16772df2fc68173354ed7b5684e40a56,0,Mass,269.13437576999996,1033.65006578,577.62896463,1371.51910926,308.4945888600001,337.8690434800001,104230.77165688411,0.32336959,0.17397994,0.056259821866024594,954,1942
crop_clahe_2class,train,16772df2fc68173354ed7b5684e40a56,1,Suspicious Calcification,286.52214672,1083.0948617,624.3167181599999,1449.3533040600003,337.7945714399999,366.25844236000034,123720.11357327823,0.35408236,0.18859858,0.06677943029904879,954,1942
crop_clahe_2class,train,16c5567c9a2c621c980a8992f6540c01,0,Mass,862.6813861200001,142.42675662,991.64667324,377.22929544,128.96528711999997,234.80253882,30281.37683542624,0.12948322,0.13243234,0.017147765815334802,996,1773
crop_clahe_2class,train,17127fbc6f1c700106b7ec6725012007,0,Mass,250.1822942,994.2463887749998,418.9035915,1188.812177325,168.7212973,194.5657885500002,32827.39225435352,0.22647154,0.11756241,0.0266245400388114,745,1655
crop_clahe_2class,train,175c9ad9cb031644884079a42f660dfc,0,Mass,298.18406637,647.5655978000001,373.86438111,719.955885,75.68031474000003,72.39028719999988,5478.519719414986,0.14752498,0.0567322,0.008369416670356001,513,1276
