epoch,train_loss,val_mAP50,val_mAP50-95,lr
1,0.11301261501036038,0.159902885556221,0.07007517665624619,0.005
2,0.09612834990636691,0.2511860132217407,0.11069777607917786,0.005
3,0.09387274842239045,0.20953084528446198,0.0807226300239563,0.005
4,0.08993826078497956,0.25811871886253357,0.09477987885475159,0.005
5,0.09039398458062531,0.22476311028003693,0.0979900136590004,0.005
6,0.08387012252576219,0.20506159961223602,0.08145206421613693,0.005
7,0.08241653375538416,0.30071309208869934,0.11728004366159439,0.005
8,0.07738477577128919,0.27133673429489136,0.10381290316581726,0.005
9,0.07598964959725853,0.35463130474090576,0.13544948399066925,0.005
10,0.077123991116042,0.32361793518066406,0.12887559831142426,0.0005
11,0.06664319917702803,0.36980703473091125,0.1461161971092224,0.0005
12,0.06316533630775559,0.3343581259250641,0.13997696340084076,0.0005
13,0.06516693454769103,0.3569836914539337,0.1474456787109375,0.0005
14,0.05768173366584073,0.35333412885665894,0.15260416269302368,0.0005
15,0.06225169078172388,0.3595847487449646,0.15076909959316254,0.0005
16,0.06104996905639789,0.3648837208747864,0.1500285416841507,0.0005
17,0.057054062657339345,0.36313289403915405,0.15396466851234436,0.0005
18,0.05868764755175526,0.3467734754085541,0.1387702375650406,0.0005
19,0.05731059230269,0.35692599415779114,0.1573287695646286,0.0005
